x,y
94,59
94,139
94,141
94,177
94,178
94,180
94,250
94,252
95,2
95,4
95,57
95,59
95,139
95,178
95,180
95,250
95,252
96,2
96,4
96,5
96,57
96,59
96,139
96,140
96,142
96,178
96,180
96,250
96,252
97,2
97,5
97,57
97,140
97,142
97,143
97,178
97,181
97,250
97,252
98,2
98,3
98,6
98,56
98,58
98,141
98,143
98,178
98,179
98,181
98,250
98,252
99,3
99,4
99,7
99,56
99,58
99,141
99,143
99,179
99,181
99,250
99,252
100,4
100,5
100,8
100,9
100,55
100,58
100,142
100,144
100,179
100,180
100,182
100,250
100,252
101,5
101,6
101,9
101,55
101,57
101,142
101,145
101,180
101,182
101,250
101,252
102,6
102,7
102,10
102,55
102,57
102,143
102,145
102,181
102,183
102,250
102,252
103,7
103,8
103,11
103,55
103,57
103,143
103,145
103,181
103,183
103,250
103,252
104,8
104,9
104,11
104,55
104,57
104,144
104,146
104,181
104,183
104,250
104,252
105,9
105,12
105,55
105,57
105,144
105,146
105,147
105,181
105,183
105,250
105,252
106,10
106,12
106,13
106,55
106,57
106,145
106,147
106,182
106,184
106,250
106,252
107,10
107,13
107,55
107,57
107,145
107,148
107,182
107,184
107,250
107,252
108,11
108,14
108,55
108,57
108,146
108,148
108,149
108,182
108,185
108,250
108,252
109,12
109,14
109,55
109,57
109,146
109,147
109,149
109,183
109,185
109,250
109,252
110,12
110,14
110,15
110,55
110,57
110,147
110,149
110,183
110,185
110,250
110,252
111,12
111,13
111,15
111,55
111,57
111,147
111,149
111,184
111,186
111,250
111,252
112,13
112,15
112,16
112,55
112,57
112,146
112,149
112,184
112,186
112,250
112,252
113,13
113,16
113,17
113,55
113,57
113,145
113,148
113,184
113,186
113,250
113,252
114,14
114,17
114,18
114,54
114,57
114,145
114,147
114,184
114,186
114,250
114,252
115,15
115,18
115,19
115,54
115,56
115,184
115,186
115,250
115,252
116,16
116,19
116,20
116,54
116,56
116,144
116,146
116,184
116,186
116,250
116,252
117,17
117,20
117,54
117,56
117,144
117,146
117,183
117,186
117,249
117,251
118,18
118,21
118,54
118,56
118,144
118,146
118,183
118,185
118,251
119,18
119,19
119,22
119,54
119,56
119,91
119,92
119,93
119,94
119,145
119,147
119,183
119,185
119,249
119,251
120,19
120,20
120,23
120,54
120,56
120,91
120,95
120,145
120,147
120,183
120,185
120,249
120,251
121,20
121,21
121,24
121,53
121,54
121,56
121,91
121,92
121,94
121,96
121,102
121,145
121,147
121,183
121,185
121,249
121,251
122,21
122,22
122,25
122,53
122,55
122,92
122,94
122,98
122,99
122,100
122,145
122,148
122,183
122,185
122,249
122,251
123,22
123,23
123,26
123,52
123,55
123,92
123,94
123,101
123,102
123,146
123,148
123,183
123,185
123,249
123,251
124,23
124,24
124,27
124,52
124,54
124,92
124,94
124,102
124,146
124,148
124,183
124,186
124,249
124,251
125,24
125,25
125,27
125,28
125,52
125,54
125,95
125,103
125,105
125,146
125,148
125,184
125,186
125,249
125,251
126,25
126,28
126,29
126,51
126,53
126,54
126,93
126,95
126,103
126,106
126,147
126,184
126,186
126,249
126,251
127,26
127,29
127,30
